ethnicity,race,gender,action_taken,preapproval_requested,loan_type,loan_purpose,loan_to_value_ratio,interest_only_payment,balloon_payment,debt_to_income_ratio,age,income,derived_loan_to_value_ratio
0,1,0,1,0,1,1.0,80.0,0.0,0,2,2,3,2
0,2,1,1,0,1,1.0,69.88,0.0,0,4,1,4,2
0,1,1,1,0,1,3.0,51.18,0.0,0,4,3,4,2
0,1,1,0,0,1,2.0,77.92,1.0,0,4,2,5,2
0,1,1,1,0,1,3.0,80.0,0.0,0,3,2,4,2
0,1,0,1,0,1,1.0,90.0,0.0,0,4,3,4,3
0,1,0,1,0,1,1.0,78.9,0.0,0,3,1,4,2
0,2,1,1,0,1,3.0,79.93,0.0,0,4,2,4,2
0,2,1,1,0,1,3.0,90.0,0.0,0,4,2,4,3
0,3,1,1,0,1,3.0,91.04,0.0,0,2,2,4,3
0,1,1,1,0,1,1.0,85.0,0.0,0,3,2,4,3
0,1,1,1,0,1,1.0,90.0,0.0,0,2,2,4,3
0,2,0,1,0,1,3.0,77.39,0.0,0,4,2,3,2
0,2,0,1,0,1,1.0,67.6,0.0,0,4,2,4,2
0,1,1,1,0,1,3.0,63.38,0.0,0,4,2,4,2
0,2,1,0,0,1,3.0,80.0,0.0,0,4,2,4,2
0,2,1,0,0,1,1.0,90.0,0.0,0,4,1,4,3
0,2,0,1,0,1,1.0,95.0,0.0,0,3,2,4,3
0,2,1,1,0,1,1.0,95.0,0.0,0,4,2,3,3
0,2,0,0,0,1,3.0,74.29,0.0,0,4,2,4,2
0,3,0,0,0,1,1.0,80.0,1.0,0,4,2,5,2
0,2,1,1,0,1,1.0,85.0,0.0,0,3,1,3,3
0,1,0,1,0,1,1.0,90.0,0.0,0,4,1,4,3
0,1,1,0,0,1,3.0,86.8,1.0,0,3,3,5,3
0,1,0,0,0,1,3.0,75.0,0.0,0,6,2,4,2
0,1,0,1,0,1,2.0,80.0,1.0,0,4,2,4,2
0,2,1,0,0,1,3.0,41.67,0.0,0,6,2,3,2
0,2,1,1,0,1,1.0,90.0,0.0,0,4,2,4,3
1,1,0,1,0,1,1.0,97.0,0.0,0,4,1,3,4
0,2,1,1,0,1,1.0,95.0,0.0,0,3,1,4,3
0,2,1,1,0,1,1.0,80.0,0.0,0,4,1,3,2
0,2,1,0,0,1,1.0,90.0,0.0,0,4,1,4,3
0,2,0,1,0,1,1.0,80.0,0.0,0,4,2,3,2
0,1,0,1,0,1,1.0,73.12,0.0,0,3,1,5,2
0,1,1,1,0,1,1.0,85.0,0.0,0,4,1,4,3
0,2,1,1,0,1,1.0,90.0,0.0,0,4,1,4,3
0,1,1,1,0,2,1.0,102.15,0.0,0,2,2,4,1
0,2,1,1,0,1,1.0,80.0,0.0,0,3,2,4,2
0,1,1,1,0,1,3.0,30.06,0.0,0,5,3,4,2
0,1,1,1,0,1,3.0,68.42,1.0,0,4,2,4,2
0,1,1,1,0,1,3.0,70.0,1.0,0,4,3,4,2
0,1,1,1,0,2,1.0,103.3,0.0,0,3,2,3,1
0,1,0,1,0,2,1.0,100.0,0.0,0,3,1,3,4
0,2,1,1,0,1,1.0,90.0,0.0,0,3,2,4,3
0,1,1,1,0,1,3.0,80.0,0.0,0,4,2,4,2
0,2,1,1,0,1,1.0,63.64,0.0,0,2,2,4,2
0,1,1,1,0,1,3.0,80.0,0.0,0,4,1,3,2
0,2,1,0,0,1,3.0,80.88,0.0,0,4,2,4,3
0,1,1,0,0,1,3.0,70.0,1.0,0,6,2,4,2
0,2,1,1,0,1,1.0,94.91,0.0,0,4,1,3,3
0,1,0,0,0,1,1.0,90.0,0.0,0,2,3,4,3
0,2,1,1,0,1,1.0,80.0,0.0,0,4,1,4,2
0,1,0,1,0,1,3.0,89.11,0.0,0,3,2,4,3
0,1,1,1,0,1,3.0,88.57,0.0,0,2,2,5,3
0,1,0,1,0,1,3.0,57.95,0.0,0,4,2,4,2
0,3,1,1,0,1,1.0,95.0,0.0,0,2,2,4,3
0,1,1,1,0,1,3.0,70.0,0.0,0,3,1,4,2
0,2,0,1,0,1,1.0,80.0,0.0,0,4,1,3,2
0,1,1,1,0,1,1.0,80.03,0.0,0,4,2,3,3
0,2,1,1,0,1,1.0,95.0,0.0,0,4,2,3,3
0,1,1,0,0,1,3.0,94.41,0.0,0,3,1,4,3
0,1,0,1,0,1,3.0,60.39,0.0,0,2,2,4,2
0,2,1,1,0,1,1.0,79.94,0.0,0,4,2,4,2
0,2,1,1,0,1,3.0,86.36,0.0,0,4,2,4,3
0,2,1,1,0,1,1.0,90.0,0.0,0,4,2,4,3
0,1,1,0,0,1,3.0,18.65,0.0,0,4,2,4,2
0,1,1,1,0,1,1.0,97.0,0.0,0,4,1,3,4
0,1,0,1,0,2,1.0,96.32,0.0,0,3,1,3,3
0,1,1,1,0,1,1.0,75.0,1.0,0,4,1,4,2
0,1,1,1,0,1,1.0,89.92,0.0,0,4,2,4,3
0,2,0,1,0,1,1.0,90.0,0.0,0,4,1,4,3
0,2,1,1,0,1,1.0,90.0,0.0,0,3,2,3,3
0,1,1,1,0,1,1.0,75.0,0.0,0,2,3,5,2
0,1,1,1,0,1,1.0,80.0,0.0,0,4,3,4,2
0,1,1,0,0,1,3.0,68.67,0.0,0,4,2,4,2
0,1,1,1,0,1,3.0,90.0,0.0,0,4,2,4,3
0,1,1,1,0,1,1.0,90.0,0.0,0,4,1,3,3
1,1,1,1,0,1,3.0,54.35,1.0,0,6,3,4,2
0,1,1,0,0,1,1.0,97.0,0.0,0,5,2,2,4
0,2,1,1,0,1,3.0,84.73,0.0,0,3,2,4,3
0,3,0,1,0,1,1.0,96.97,0.0,0,4,1,3,4
0,2,1,1,0,1,1.0,85.0,0.0,0,4,2,4,3
0,3,0,0,0,1,1.0,97.0,0.0,0,5,1,3,4
0,2,1,1,0,1,3.0,73.74,0.0,0,4,2,4,2
0,1,1,1,0,1,3.0,88.64,0.0,0,2,2,3,3
0,2,1,1,0,1,3.0,85.91,0.0,0,2,2,4,3
0,1,1,1,0,1,3.0,85.58,0.0,0,4,2,4,3
0,1,0,1,0,1,3.0,56.45,0.0,0,2,3,4,2
0,2,1,1,0,1,1.0,89.22,0.0,0,3,1,4,3
0,1,0,1,0,1,1.0,80.0,0.0,0,3,2,4,2
0,1,0,1,0,1,1.0,80.0,0.0,0,4,1,3,2
0,3,0,0,0,1,1.0,85.0,0.0,0,2,1,3,3
0,2,0,1,0,1,1.0,85.61,0.0,0,4,2,3,3
0,1,1,1,0,1,3.0,60.63,1.0,0,4,3,4,2
0,1,1,0,0,1,1.0,80.0,0.0,0,4,2,5,2
0,1,1,0,0,1,3.0,75.68,0.0,0,4,2,4,2
0,3,1,1,0,1,3.0,94.24,0.0,0,4,2,4,3
0,2,1,0,0,1,3.0,94.97,0.0,0,4,2,4,3
0,2,1,1,0,1,1.0,85.0,0.0,0,3,2,3,3
0,1,0,1,0,1,3.0,85.95,0.0,0,3,1,4,3
0,2,1,1,0,1,3.0,77.63,0.0,0,4,1,4,2
0,1,1,1,0,1,3.0,80.53,0.0,0,4,2,4,3
0,2,0,1,0,1,1.0,63.05,0.0,0,2,1,4,2
0,2,1,0,0,1,1.0,90.08,0.0,0,4,2,4,3
0,1,0,1,0,1,3.0,86.67,0.0,0,2,1,4,3
0,1,1,1,0,1,3.0,77.22,0.0,0,1,2,4,2
0,2,1,0,0,1,4.0,80.0,0.0,0,5,2,3,2
0,1,1,1,0,1,1.0,82.0,0.0,0,4,1,4,3
0,1,0,0,0,1,3.0,47.92,0.0,0,6,3,3,2
0,2,1,1,0,1,1.0,80.0,0.0,0,4,1,4,2
0,1,0,1,0,1,1.0,75.0,0.0,0,3,2,3,2
0,2,1,1,0,1,3.0,50.05,0.0,0,3,2,4,2
0,1,0,1,0,1,3.0,80.0,0.0,0,2,2,5,2
0,1,1,1,0,1,3.0,79.77,0.0,0,2,2,4,2
0,1,1,1,0,1,3.0,54.48,0.0,0,4,1,4,2
0,1,0,1,0,1,1.0,80.0,0.0,0,2,1,4,2
0,2,1,0,0,1,3.0,89.58,0.0,0,4,2,4,3
0,2,1,1,0,1,1.0,90.0,0.0,0,4,2,4,3
0,1,1,1,0,1,1.0,80.0,1.0,0,2,3,4,2
0,1,0,1,0,1,3.0,80.0,0.0,0,4,3,3,2
0,1,1,1,0,1,1.0,80.0,0.0,0,4,1,2,2
0,2,1,1,0,1,1.0,80.0,0.0,0,3,1,4,2
0,1,0,1,0,1,1.0,59.6,0.0,0,3,1,3,2
0,1,1,1,0,1,1.0,93.0,0.0,0,4,2,4,3
0,1,1,0,0,1,3.0,74.77,0.0,0,6,2,4,2
0,2,1,0,0,1,3.0,71.45,0.0,0,2,2,4,2
0,2,1,0,0,1,3.0,99.26,0.0,0,5,2,3,4
0,1,1,0,0,2,3.0,103.3,0.0,0,4,1,3,1
0,1,1,1,0,1,3.0,60.95,0.0,0,4,2,4,2
0,1,1,1,0,1,3.0,84.57,0.0,0,4,1,3,3
0,1,1,1,0,1,1.0,95.0,0.0,0,4,1,4,3
