,is_not_hispanic,is_male,preapproval_requested,loan_amount,loan_to_value_ratio,interest_only_payment,balloon_payment,income,log_loan_to_value_ratio,mid_debt_to_income_ratio,debt,derived_race_Asian,derived_race_Black or African American,derived_race_Minority Races,derived_race_White,debt_to_income_ratio_20%-<30%,debt_to_income_ratio_30%-<36%,debt_to_income_ratio_36%-<50%,debt_to_income_ratio_50%-60%,debt_to_income_ratio_<20%,debt_to_income_ratio_>60%,applicant_age_25-34,applicant_age_35-44,applicant_age_45-54,applicant_age_55-64,applicant_age_65-74,applicant_age_<25,applicant_age_>74,loan_type_Converntional,loan_type_FHA-insured,loan_type_VA-guaranteed,loan_purpose_Home Improvement,loan_purpose_Home Purchase,loan_purpose_Other Purpose,loan_purpose_Refinancing
7221,1.0,1.0,0.0,3.1265412760659705,-0.5107165435653688,0.23625225538129552,0.13698346380285525,0.03939803553118962,-0.24197446644145199,2.3300271096886056,1.0330488683474197,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
7222,1.0,0.0,0.0,0.14062944925765697,0.35851804493679473,0.23625225538129552,0.13698346380285525,-0.29102587527056417,0.4224370437653056,0.1187865792780793,-0.41656440369284303,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
7223,1.0,1.0,0.0,-0.7212832430169079,-1.459588530820371,0.23625225538129552,0.13698346380285525,-0.06967393502472911,-1.3359829437062547,-1.7648627614419987,-0.5207674181548182,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
7224,1.0,1.0,0.0,-0.3518920891849515,1.0179124986586918,0.23625225538129552,0.13698346380285525,-0.358393857084514,0.8154580074867869,0.1187865792780793,-0.5504677942575067,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
7225,1.0,0.0,0.0,0.23297723771564605,0.6983604187687746,0.23625225538129552,0.13698346380285525,-0.2364898899926048,0.6341375307055922,0.1187865792780793,-0.30816642085478196,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
7226,1.0,0.0,0.0,0.017499064647004837,0.7212411336370375,0.23625225538129552,0.13698346380285525,-0.17874590558064782,0.6476532169999923,0.1187865792780793,-0.19339208608507014,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
7227,1.0,0.0,0.0,0.6639335838529284,0.35811705098537033,0.23625225538129552,0.13698346380285525,0.6392938735887426,0.42217422558803436,-0.9458847872158778,0.6429168093714259,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
7228,1.0,0.0,0.0,-0.7212832430169079,0.02011924932994128,0.23625225538129552,0.13698346380285525,0.01052604332521113,0.18806918841674888,-0.290702407834981,0.043539727796264575,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
7229,0.0,0.0,0.0,1.310368103058852,0.9596079781216184,0.23625225538129552,0.13698346380285525,0.5334299021668215,0.7835197781157976,0.1187865792780793,1.2221580427413745,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
7230,1.0,0.0,0.0,0.6331509877002655,-0.7269324821732787,0.23625225538129552,0.13698346380285525,0.43398192901289556,-0.4459128498947592,0.1187865792780793,1.0244911328602042,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
7231,1.0,0.0,0.0,-0.4134572814902776,1.2167653991699354,0.23625225538129552,0.13698346380285525,-0.2974418735385594,0.9208758726431794,0.1187865792780793,-0.42931710755614433,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
7232,1.0,0.0,0.0,0.14062944925765697,0.9596079781216184,0.23625225538129552,0.13698346380285525,-0.12100192116869087,0.7835197781157976,-0.290702407834981,-0.18349196071750737,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
7233,0.0,0.0,0.0,-1.1830221853068534,0.9963791234672145,0.23625225538129552,0.13698346380285525,-0.2685698813325809,0.8037188119982153,0.1187865792780793,-0.3719299401712885,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
7234,1.0,0.0,0.0,0.5100206030896133,0.08704513982263436,0.23625225538129552,0.13698346380285525,-0.20761789778662632,0.23653958114113147,0.1187865792780793,-0.250779253469926,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
7235,1.0,1.0,0.0,-1.1522395891541903,0.31304533084529435,0.23625225538129552,0.13698346380285525,-0.2653618821985833,0.39242211472714844,-0.290702407834981,-0.43267308225701306,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
7236,1.0,1.0,0.0,0.7254987761582545,0.8446430122483101,0.23625225538129552,0.13698346380285525,-0.06967393502472911,0.7190859670052264,0.1187865792780793,0.023403879591051942,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
7237,1.0,0.0,0.0,0.0790642569523309,0.15762007527328767,0.23625225538129552,0.13698346380285525,0.45643792295087887,0.28647057290316696,-0.290702407834981,0.8132325254405157,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
