ethnicity,race,gender,action_taken,preapproval_requested,loan_type,loan_purpose,loan_to_value_ratio,interest_only_payment,balloon_payment,debt_to_income_ratio,age,income,derived_loan_to_value_ratio
0,1,1,1,0,1,1.0,90.0,0.0,0,4,1,3,3
0,1,1,1,0,1,1.0,75.0,0.0,0,4,1,4,2
0,1,1,1,0,1,1.0,95.0,0.0,0,4,1,2,3
1,1,1,1,0,1,1.0,97.0,0.0,0,3,3,1,4
0,2,1,1,0,1,3.0,90.0,0.0,0,2,2,4,3
0,3,0,1,0,1,1.0,101.07,0.0,0,4,1,2,1
0,3,1,1,0,1,4.0,69.23,0.0,0,2,3,3,2
0,1,1,1,0,1,1.0,95.0,0.0,0,3,1,3,3
0,3,1,0,0,1,3.0,70.0,0.0,0,3,3,2,2
0,2,1,1,0,1,1.0,95.0,0.0,0,3,2,3,3
0,3,0,1,0,1,1.0,100.33,0.0,0,4,2,3,1
1,2,0,1,0,1,3.0,67.23,0.0,0,4,2,3,2
0,1,0,1,0,1,3.0,80.0,0.0,0,4,1,2,2
0,3,1,0,0,1,1.0,101.87,0.0,0,4,2,3,1
0,1,1,1,0,1,1.0,75.0,0.0,0,3,2,4,2
1,1,0,0,0,1,1.0,95.0,0.0,0,4,1,2,3
0,3,0,0,0,1,1.0,108.89,0.0,0,5,3,1,1
0,3,0,1,0,1,4.0,44.44,0.0,0,4,1,1,2
0,3,0,1,0,1,1.0,103.86,0.0,0,2,3,3,1
1,1,0,1,0,1,1.0,103.28,0.0,0,4,1,2,1
0,1,0,1,0,1,3.0,80.0,0.0,0,4,2,3,2
1,1,1,0,0,1,1.0,102.48,0.0,0,3,1,2,1
0,3,1,1,0,1,2.0,69.72,0.0,0,2,3,3,2
0,1,0,1,0,1,1.0,66.23,0.0,0,6,2,2,2
0,1,0,1,0,1,1.0,51.81,0.0,0,4,3,2,2
1,1,0,1,0,1,1.0,100.8,0.0,0,4,1,1,1
0,1,0,1,0,1,1.0,90.0,0.0,0,4,2,4,3
0,2,0,1,0,1,1.0,70.0,0.0,0,4,2,2,2
0,1,0,1,0,1,3.0,47.89,0.0,0,2,2,1,2
0,1,1,1,0,1,1.0,90.0,0.0,0,3,2,4,3
1,1,0,1,0,1,1.0,102.5,0.0,0,4,2,2,1
0,1,0,1,0,1,3.0,52.56,0.0,0,4,3,4,2
0,2,0,0,0,1,4.0,71.17,0.0,0,4,1,3,2
0,3,1,1,0,1,1.0,104.9,0.0,0,4,3,2,1
0,1,1,1,0,1,1.0,90.0,0.0,0,3,2,4,3
0,3,1,1,0,1,1.0,97.0,0.0,0,4,3,2,4
0,1,1,1,0,1,1.0,75.0,0.0,0,4,2,5,2
0,1,1,1,0,1,3.0,58.47,0.0,0,3,1,2,2
0,1,0,1,0,1,3.0,66.32,0.0,0,4,3,2,2
