ethnicity,race,gender,action_taken,preapproval_requested,loan_type,loan_purpose,loan_to_value_ratio,interest_only_payment,balloon_payment,debt_to_income_ratio,age,income,derived_loan_to_value_ratio
0,1,1,1,0,1,1.0,80.0,0.0,0,4,1,3,2
0,1,1,1,0,2,1.0,100.0,0.0,0,5,2,3,4
0,1,1,1,0,1,1.0,80.0,0.0,0,4,1,3,2
0,1,0,1,0,1,3.0,75.074,0.0,0,4,1,3,2
1,1,1,1,0,1,1.0,89.254,0.0,0,4,1,2,3
0,1,1,1,0,1,3.0,79.762,0.0,0,2,2,3,2
0,1,0,1,0,1,3.0,47.692,0.0,0,1,3,3,2
0,1,1,1,0,1,1.0,90.0,0.0,0,3,1,2,3
0,1,1,1,0,1,1.0,80.0,0.0,0,4,1,2,2
0,1,0,1,0,1,1.0,80.0,0.0,0,4,3,3,2
0,2,1,1,0,1,1.0,70.0,0.0,0,4,2,4,2
0,2,1,1,0,1,1.0,70.0,0.0,0,4,2,4,2
0,2,1,1,0,1,1.0,69.42,0.0,0,4,2,4,2
0,1,0,1,0,1,1.0,80.0,0.0,0,4,1,3,2
0,1,1,1,0,1,1.0,80.0,0.0,0,1,3,4,2
0,1,1,1,0,1,1.0,80.0,0.0,0,1,2,4,2
0,1,1,1,0,1,1.0,74.999,0.0,0,3,3,4,2
0,1,1,1,0,2,1.0,100.0,0.0,0,4,2,3,4
0,1,1,1,0,1,4.0,78.94,1.0,0,2,3,3,2
1,1,1,1,0,1,1.0,95.0,0.0,0,4,2,2,3
0,3,1,0,0,3,1.0,102.604,0.0,0,4,2,2,1
1,1,1,1,0,2,1.0,100.0,0.0,0,4,2,2,4
0,3,0,1,0,1,1.0,97.0,0.0,0,2,2,3,4
0,1,0,0,0,1,4.0,80.0,0.0,0,6,1,2,2
0,1,0,0,0,1,3.0,60.61,0.0,0,3,2,3,2
0,3,0,0,0,1,3.0,62.22,0.0,0,4,3,1,2
0,1,1,0,0,1,3.0,42.2535,0.0,0,4,2,2,2
0,1,0,1,0,1,1.0,80.0,0.0,0,4,3,3,2
0,1,0,1,1,1,1.0,80.0,0.0,0,4,3,2,2
0,1,0,1,1,1,1.0,89.855,0.0,0,4,3,4,3
0,1,0,1,1,1,1.0,85.0,0.0,0,4,3,3,3
0,1,1,1,1,1,1.0,75.0,0.0,0,4,3,2,2
0,1,1,0,0,1,2.0,78.35,1.0,0,2,3,4,2
0,3,1,0,0,1,3.0,90.0,0.0,1,5,2,4,3
0,1,1,0,0,1,1.0,90.0,0.0,1,6,2,3,3
0,3,1,1,0,2,1.0,100.453,0.0,0,4,1,3,1
0,1,0,1,0,1,1.0,62.069,0.0,0,4,3,1,2
1,4,1,1,0,1,1.0,80.0,0.0,0,4,1,3,2
0,1,1,1,0,1,1.0,95.0,0.0,0,2,1,4,3
0,1,1,1,0,1,1.0,95.0,0.0,0,4,2,3,3
0,3,1,0,0,1,1.0,97.0,0.0,0,4,3,2,4
0,1,0,1,0,1,1.0,95.0,0.0,0,3,1,3,3
0,1,0,1,0,2,1.0,100.0,0.0,0,4,1,3,4
0,1,0,1,0,1,3.0,68.571,0.0,0,2,3,3,2
0,1,1,1,0,2,1.0,102.0,0.0,0,4,1,2,1
1,1,1,1,0,1,1.0,97.0,0.0,0,4,1,1,4
0,1,1,1,0,1,1.0,96.866,0.0,0,2,1,1,4
0,1,0,1,0,1,1.0,97.0,0.0,0,4,1,3,4
0,1,1,1,0,2,1.0,100.0,0.0,0,3,3,3,4
0,1,1,1,0,2,1.0,100.0,0.0,0,4,2,3,4
0,1,1,1,0,2,1.0,100.0,0.0,0,2,2,3,4
0,1,1,1,0,2,1.0,100.0,0.0,0,4,3,2,4
0,1,0,1,0,1,1.0,97.0,0.0,0,4,1,3,4
0,3,0,1,0,1,1.0,101.85,0.0,0,4,2,2,1
0,1,0,1,0,1,1.0,80.0,0.0,0,4,2,3,2
1,1,1,1,0,1,1.0,96.966,0.0,0,3,2,2,4
0,3,1,1,0,2,1.0,103.0,0.0,0,4,3,2,1
0,1,1,1,1,2,1.0,90.0,0.0,0,4,1,3,3
0,1,1,1,1,1,1.0,80.0,0.0,0,2,1,3,2
0,1,1,1,1,1,1.0,59.091,0.0,0,4,2,4,2
0,1,1,0,0,1,1.0,98.75,0.0,0,4,2,4,4
0,1,1,1,1,1,1.0,95.0,0.0,0,4,2,4,3
0,2,1,1,0,1,1.0,90.0,0.0,0,4,2,2,3
0,3,0,1,0,1,1.0,97.78,0.0,0,4,3,2,4
0,2,1,1,0,1,1.0,80.0,0.0,0,2,2,4,2
1,1,0,1,0,1,1.0,101.74,0.0,0,4,2,1,1
0,1,1,0,0,1,1.0,90.0,0.0,0,4,2,3,3
1,1,0,0,0,1,1.0,96.0,0.0,0,4,3,3,3
0,1,1,0,0,2,1.0,100.0,0.0,0,4,3,2,4
0,1,0,1,0,3,1.0,97.872,0.0,0,4,1,2,4
0,3,1,1,0,1,1.0,100.122,0.0,0,5,2,3,1
0,1,1,0,0,2,1.0,100.0,0.0,0,4,2,3,4
0,1,0,1,0,2,1.0,100.0,0.0,0,4,3,2,4
0,1,1,1,0,1,1.0,85.0,0.0,0,4,2,3,3
0,1,1,0,0,2,1.0,105.688,0.0,0,3,1,2,1
0,3,1,1,0,2,1.0,100.0,0.0,0,4,2,3,4
0,1,1,1,0,2,1.0,100.0,0.0,0,4,2,3,4
0,1,0,0,0,1,3.0,50.0,0.0,0,4,3,2,2
0,3,1,1,0,3,1.0,100.238,0.0,0,2,2,3,1
0,1,0,1,0,3,1.0,100.951,0.0,0,3,3,3,1
0,1,0,1,0,3,1.0,101.01,0.0,0,4,1,2,1
1,1,1,1,0,1,3.0,79.554,0.0,0,4,3,3,2
1,1,0,1,0,1,1.0,65.789,0.0,0,4,2,3,2
0,2,0,1,0,1,1.0,75.0,0.0,0,4,2,3,2
0,3,0,0,0,1,1.0,90.0,0.0,0,4,3,3,3
0,1,1,1,0,1,3.0,83.943,0.0,0,4,2,4,3
0,1,1,1,0,1,3.0,162.0,0.0,0,3,3,3,1
0,1,1,1,0,1,1.0,85.0,0.0,0,3,2,4,3
0,1,1,1,0,1,1.0,80.0,0.0,0,4,1,4,2
1,1,1,1,0,1,1.0,80.0,0.0,0,1,2,2,2
0,3,1,1,1,2,1.0,100.0,0.0,0,5,2,3,4
1,1,1,1,1,1,1.0,79.0514,0.0,0,4,2,2,2
0,1,0,1,0,1,3.0,68.889,0.0,0,4,3,3,2
0,1,0,1,0,1,1.0,80.0,0.0,0,4,1,3,2
1,1,1,0,0,1,1.0,93.0,0.0,0,1,1,2,3
1,1,1,1,0,1,4.0,80.0,0.0,1,4,2,4,2
0,1,0,0,0,1,3.0,75.0,0.0,0,4,2,3,2
1,1,1,0,0,1,1.0,90.498,0.0,0,4,2,2,3
0,1,0,0,0,1,1.0,97.0,0.0,0,4,2,3,4
0,1,0,1,0,1,1.0,80.0,0.0,0,3,2,4,2
0,1,0,1,0,1,1.0,90.0,0.0,0,4,1,2,3
1,1,1,1,0,1,1.0,95.0,0.0,0,4,2,2,3
0,1,1,1,0,1,1.0,53.521,0.0,0,1,3,4,2
0,1,0,1,0,1,1.0,80.0,0.0,0,4,1,2,2
0,1,0,1,0,1,1.0,95.0,0.0,0,3,2,3,3
0,1,0,1,0,1,1.0,82.233,0.0,0,4,2,4,3
0,1,0,1,0,1,1.0,65.714,0.0,0,2,3,2,2
0,1,0,1,0,1,1.0,80.0,0.0,0,4,2,2,2
0,3,0,1,0,1,1.0,75.0,0.0,0,2,2,4,2
0,1,1,1,1,1,1.0,80.0,0.0,0,4,2,3,2
0,1,1,1,0,2,3.0,82.3,0.0,0,3,3,3,3
1,1,1,1,0,1,1.0,97.0,0.0,0,3,1,2,4
0,1,1,1,0,1,1.0,95.0,0.0,0,4,1,3,3
0,1,1,1,0,1,1.0,95.0,0.0,0,4,1,2,3
0,1,1,1,0,1,1.0,97.0,0.0,0,4,1,3,4
1,1,1,1,0,1,1.0,97.0,0.0,0,4,3,1,4
0,1,1,1,0,1,3.0,65.005,0.0,0,4,2,3,2
0,1,1,1,1,2,1.0,100.0,0.0,0,6,3,3,4
0,1,1,1,0,2,1.0,95.0,0.0,0,5,2,4,3
0,1,1,1,1,2,1.0,100.0,0.0,0,4,1,2,4
0,1,1,1,0,1,1.0,80.0,0.0,0,1,2,3,2
0,1,1,1,0,1,1.0,100.427,0.0,1,3,2,2,1
